,Product Name,prices,review,memory,Screen,Camera,Battery,Processor
0,"realme C33 2023 (Aqua Blue, 64 GB)","9,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
1,"realme C33 2023 (Sandy Gold, 64 GB)","9,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
2,"realme C33 2023 (Night Sea, 64 GB)","9,999",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
3,"realme C33 (Aqua Blue, 32 GB)","8,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
4,"realme C33 (Sandy Gold, 32 GB)","8,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
5,"realme C55 (Sunshower, 64 GB)","10,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
6,"realme C55 (Sunshower, 128 GB)","13,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
7,"realme C55 (Sunshower, 64 GB)","11,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
8,"realme C33 (Aqua Blue, 64 GB)","9,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
9,"realme C33 (Night Sea, 64 GB)","9,999",4.4,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 8100 Processor
